participant,trial,practice,speed,delta_var,speed_BrelA,completion_time,edgeA_speed,edgeB_initial_speed,edgeB_speed,visual_variable
9,0,true,low,small,lower,36.646,5.358,1.5510000000000002,5.167650000000001,length
9,1,true,medium,medium,higher,10.951,19.345200000000002,36.755880000000005,26.59965,length
9,2,true,high,large,higher,11.749,36.755880000000005,69.936,59.82813300000001,length
9,3,true,medium,same,lower,14.046,19.345200000000002,10.1802,20.33643,length
9,4,false,low,medium,higher,12.747,5.358,10.1802,5.8938,length
9,5,false,low,medium,lower,17.142,5.358,1.5510000000000002,5.3016000000000005,length
9,6,false,medium,medium,lower,20.297,19.345200000000002,10.1802,19.852800000000002,length
9,7,false,medium,medium,higher,13.724,19.345200000000002,36.755880000000005,27.083280000000006,length
9,8,false,medium,medium,higher,10.744,19.345200000000002,36.755880000000005,23.21424,length
9,9,false,medium,medium,lower,38.449,19.345200000000002,10.1802,22.75458,length
9,10,false,high,same,lower,11.215,36.755880000000005,19.345200000000002,42.31762500000001,length
9,11,false,high,same,higher,10.76,36.755880000000005,69.936,35.936811,length
9,12,false,medium,same,higher,13.323,19.345200000000002,36.755880000000005,17.89431,length
9,13,false,medium,same,lower,10.522,19.345200000000002,10.1802,20.33643,length
9,14,false,high,medium,lower,10.995,36.755880000000005,19.345200000000002,44.155419,length
9,15,false,high,medium,higher,7.5,36.755880000000005,69.936,55.233648,length
9,16,false,high,same,higher,10.225,36.755880000000005,69.936,44.206884,length
9,17,false,high,same,lower,10.827,36.755880000000005,19.345200000000002,40.479831,length
9,18,false,medium,large,lower,12.568,19.345200000000002,10.1802,24.205470000000002,length
9,19,false,medium,large,higher,13.463,19.345200000000002,36.755880000000005,26.59965,length
9,20,false,low,large,higher,16.041,5.358,10.1802,6.6975,length
9,21,false,low,large,lower,10.098,5.358,1.5510000000000002,5.167650000000001,length
9,22,false,medium,small,lower,10.76,19.345200000000002,10.1802,17.434649999999998,length
9,23,false,medium,small,higher,15.429,19.345200000000002,36.755880000000005,26.59965,length
9,24,false,medium,large,higher,18.47,19.345200000000002,36.755880000000005,29.50143,length
9,25,false,medium,large,lower,10.253,19.345200000000002,10.1802,22.270950000000003,length
9,26,false,high,small,lower,10.361,36.755880000000005,19.345200000000002,40.479831,length
9,27,false,high,small,higher,8.772,36.755880000000005,69.936,48.801369,length
9,28,false,low,small,higher,14.631,5.358,10.1802,6.295649999999999,length
9,29,false,low,small,lower,11.409,5.358,1.5510000000000002,4.63185,length
9,30,false,high,large,lower,12.123,36.755880000000005,19.345200000000002,41.398728,length
9,31,false,high,large,higher,17.008,36.755880000000005,69.936,47.882472,length
9,32,false,medium,same,higher,14.265,19.345200000000002,36.755880000000005,18.377940000000002,length
9,33,false,medium,same,lower,13.172,19.345200000000002,10.1802,23.72184,length
9,34,false,low,small,lower,14.241,5.358,1.5510000000000002,6.50715,length
9,35,false,low,small,higher,25.91,5.358,10.1802,6.295649999999999,length
9,36,false,low,same,higher,9.549,5.358,10.1802,6.83145,length
9,37,false,low,same,lower,8.055,5.358,1.5510000000000002,5.3016000000000005,length
9,38,false,high,medium,lower,15.141,36.755880000000005,19.345200000000002,53.34438900000001,length
9,39,false,high,medium,higher,7.809,36.755880000000005,69.936,53.395854,length
9,40,false,medium,small,higher,10.477,19.345200000000002,36.755880000000005,18.86157,length
9,41,false,medium,small,lower,13.906,19.345200000000002,10.1802,26.623620000000003,length
9,42,false,high,large,lower,23.47,36.755880000000005,19.345200000000002,51.506595000000004,length
9,43,false,high,large,higher,10.064,36.755880000000005,69.936,48.801369,length
9,44,false,low,medium,higher,10.405,5.358,10.1802,6.429600000000001,length
9,45,false,low,medium,lower,6.564,5.358,1.5510000000000002,3.82815,length
9,46,false,low,large,lower,13.267,5.358,1.5510000000000002,6.1053,length
9,47,false,low,large,higher,13.091,5.358,10.1802,6.9654,length
9,48,false,low,same,higher,13.56,5.358,10.1802,6.429600000000001,length
9,49,false,low,same,lower,10.667,5.358,1.5510000000000002,5.167650000000001,length
9,50,false,high,small,lower,10.859,36.755880000000005,19.345200000000002,45.993213,length
9,51,false,high,small,higher,30.593,36.755880000000005,69.936,35.017914000000005,length
8,0,true,low,small,lower,12.65,5.358,1.5510000000000002,1.5510000000000002,length
8,1,true,medium,medium,higher,12.789,19.345200000000002,36.755880000000005,25.148759999999996,length
8,2,true,high,large,higher,5.645,36.755880000000005,69.936,33.18012,length
8,3,true,medium,same,lower,5.576,19.345200000000002,10.1802,19.852800000000002,length
8,4,false,high,same,higher,7.376,36.755880000000005,69.936,44.206884,length
8,5,false,high,same,lower,5.151,36.755880000000005,19.345200000000002,38.64203700000001,length
8,6,false,medium,large,lower,4.693,19.345200000000002,10.1802,19.36917,length
8,7,false,medium,large,higher,7.882,19.345200000000002,36.755880000000005,32.88684,length
8,8,false,low,large,higher,7.583,5.358,10.1802,10.1802,length
8,9,false,low,large,lower,7.26,5.358,1.5510000000000002,5.435549999999999,length
8,10,false,medium,small,lower,5.104,19.345200000000002,10.1802,21.303689999999996,length
8,11,false,medium,small,higher,5.962,19.345200000000002,36.755880000000005,26.116020000000002,length
8,12,false,medium,large,higher,7.294,19.345200000000002,36.755880000000005,25.632390000000004,length
8,13,false,medium,large,lower,11.715,19.345200000000002,10.1802,20.82006,length
8,14,false,high,small,lower,11.868,36.755880000000005,19.345200000000002,34.047552,length
8,15,false,high,small,higher,9.104,36.755880000000005,69.936,45.125781,length
8,16,false,low,small,higher,11.94,5.358,10.1802,8.974649999999999,length
8,17,false,low,small,lower,6.012,5.358,1.5510000000000002,5.167650000000001,length
8,18,false,high,large,lower,9.214,36.755880000000005,19.345200000000002,39.560934,length
8,19,false,high,large,higher,6.128,36.755880000000005,69.936,52.476957,length
8,20,false,medium,same,higher,9.332,19.345200000000002,36.755880000000005,25.632390000000004,length
8,21,false,medium,same,lower,6.225,19.345200000000002,10.1802,17.918280000000003,length
8,22,false,low,small,lower,7.652,5.358,1.5510000000000002,4.36395,length
8,23,false,low,small,higher,9.467,5.358,10.1802,8.974649999999999,length
8,24,false,low,same,higher,4.45,5.358,10.1802,8.304899999999998,length
8,25,false,low,same,lower,6.467,5.358,1.5510000000000002,4.4979000000000005,length
8,26,false,high,medium,lower,9.162,36.755880000000005,19.345200000000002,44.155419,length
8,27,false,high,medium,higher,6.741,36.755880000000005,69.936,48.801369,length
8,28,false,medium,small,higher,5.767,19.345200000000002,36.755880000000005,23.69787,length
8,29,false,medium,small,lower,13.403,19.345200000000002,10.1802,21.787320000000005,length
8,30,false,high,large,lower,6.206,36.755880000000005,19.345200000000002,46.912110000000006,length
8,31,false,high,large,higher,9.742,36.755880000000005,69.936,48.801369,length
8,32,false,low,medium,higher,8.603,5.358,10.1802,7.233300000000001,length
